"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"362404","0.0003042565053448458","0.0003042565053448458","0.0003042565053448458"
"368680","0.00039973925245483674","0.00039973925245483674","0.00039973925245483674"
"371540","0.00046033969150503594","0.00046033969150503594","0.00046033969150503594"
"375232","0.0005256031879474572","0.0005256031879474572","0.0005256031879474572"
"377312","0.0004690768303873891","0.0004690768303873891","0.0004690768303873891"
"378036","0.0006319137104886159","0.0006319137104886159","0.0006319137104886159"
"388252","0.0005246680096339274","0.0005246680096339274","0.0005246680096339274"
"390200","0.0005788227100970174","0.0005788227100970174","0.0005788227100970174"
"392552","0.0004934803523494381","0.0004934803523494381","0.0004934803523494381"
"394744","0.0005513904060125873","0.0005513904060125873","0.0005513904060125873"
"396620","0.0006055294795399205","0.0006055294795399205","0.0006055294795399205"
"399068","0.0009152204999416014","0.0009152204999416014","0.0009152204999416014"
"401160","0.00077592754885681","0.00077592754885681","0.00077592754885681"
"407452","0.0008519760593116755","0.0008519760593116755","0.0008519760593116755"
"407680","0.000882180286471119","0.000882180286471119","0.000882180286471119"
"407996","0.0009440490172279174","0.0009440490172279174","0.0009440490172279174"
"410300","0.000968004961722182","0.000968004961722182","0.000968004961722182"
"413944","0.0010119313325407915","0.0010119313325407915","0.0010119313325407915"
"414136","0.0009980409746914182","0.0009980409746914182","0.0009980409746914182"
"414476","0.0010407387877495596","0.0010407387877495596","0.0010407387877495596"
"420620","0.0010364874994147428","0.0010364874994147428","0.0010364874994147428"
"423280","0.0010887056803777152","0.0010887056803777152","0.0010887056803777152"
"426820","0.0009869964893815593","0.0009869964893815593","0.0009869964893815593"
"432196","0.001074066488775688","0.001074066488775688","0.001074066488775688"
"433300","0.0011114657868148625","0.0011114657868148625","0.0011114657868148625"
"433836","0.001016567904950639","0.001016567904950639","0.001016567904950639"
"435308","0.00100730441623314","0.00100730441623314","0.00100730441623314"
"439760","0.000986770956384487","0.000986770956384487","0.000986770956384487"
"440252","0.0009958906432422981","0.0009958906432422981","0.0009958906432422981"
"441760","0.0009078173393845063","0.0009078173393845063","0.0009078173393845063"
"446224","0.0008784056875465207","0.0008784056875465207","0.0008784056875465207"
"452640","0.0009427865786332927","0.0009427865786332927","0.0009427865786332927"
"455524","0.0010265315712576185","0.0010265315712576185","0.0010265315712576185"
"459592","0.0009487684440092988","0.0009487684440092988","0.0009487684440092988"
"461520","0.0008806289645791893","0.0008806289645791893","0.0008806289645791893"
"466004","0.0009538133764025859","0.0009538133764025859","0.0009538133764025859"
"471880","0.0010150746290818078","0.0010150746290818078","0.0010150746290818078"
"478328","0.0004027659069571019","0.0004027659069571019","0.0004027659069571019"
"478356","0.00047338318299730114","0.00047338318299730114","0.00047338318299730114"
"484744","0.00039035097551270596","0.00039035097551270596","0.00039035097551270596"
"485352","0.0004104028419782556","0.0004104028419782556","0.0004104028419782556"
"485536","0.0002851971403824199","0.0002851971403824199","0.0002851971403824199"
"491168","0.0003161152963428672","0.0003161152963428672","0.0003161152963428672"
"491888","0.0003061789183438553","0.0003061789183438553","0.0003061789183438553"
"499644","0.00030432986012985167","0.00030432986012985167","0.00030432986012985167"
"503940","0.00029463304787106","0.00029463304787106","0.00029463304787106"
"510192","0.00023989219171920563","0.00023989219171920563","0.00023989219171920563"
"517428","0.0004509987813424885","0.0004509987813424885","0.0004509987813424885"
"522884","0.0005077013231498317","0.0005077013231498317","0.0005077013231498317"
"523808","0.0004492785043830483","0.0004492785043830483","0.0004492785043830483"
"525268","0.0005302051497783343","0.0005302051497783343","0.0005302051497783343"
"529964","0.0004413831391525737","0.0004413831391525737","0.0004413831391525737"
"531592","0.0007722760274622318","0.0007722760274622318","0.0007722760274622318"
"537956","0.0006984151472677131","0.0006984151472677131","0.0006984151472677131"
"542908","0.0006786228407388588","0.0006786228407388588","0.0006786228407388588"
"543540","0.0006975446331527128","0.0006975446331527128","0.0006975446331527128"
"544308","0.0007240568122837912","0.0007240568122837912","0.0007240568122837912"
"544368","0.0007740612634049128","0.0007740612634049128","0.0007740612634049128"
"549860","0.0009824133577016592","0.0009824133577016592","0.0009824133577016592"
"550628","0.0009932895903224837","0.0009932895903224837","0.0009932895903224837"
"550660","0.000898548695119171","0.000898548695119171","0.000898548695119171"
"556944","0.0008214705680721798","0.0008214705680721798","0.0008214705680721798"
"570184","0.001860940913717959","0.001860940913717959","0.001860940913717959"
"574632","0.001936157196592321","0.001936157196592321","0.001936157196592321"
"575216","0.0019785921480002288","0.0019785921480002288","0.0019785921480002288"
"575788","0.0029904196799021244","0.0029904196799021244","0.0029904196799021244"
"575936","0.0030187770079111507","0.0030187770079111507","0.0030187770079111507"
"576504","0.003005444678026623","0.003005444678026623","0.003005444678026623"
"580924","0.0030248514255186076","0.0030248514255186076","0.0030248514255186076"
"588368","0.002917264915647982","0.002917264915647982","0.002917264915647982"
"594860","0.0029326202678785457","0.0029326202678785457","0.0029326202678785457"
"599740","0.002986601153630381","0.002986601153630381","0.002986601153630381"
"601132","0.0028977683950072624","0.0028977683950072624","0.0028977683950072624"
"603940","0.003027934644682825","0.003027934644682825","0.003027934644682825"
"606044","0.0027861688791605372","0.0027861688791605372","0.0027861688791605372"
"612300","0.0029092526832219055","0.0029092526832219055","0.0029092526832219055"
"613488","0.0028646272328600644","0.0028646272328600644","0.0028646272328600644"
"613916","0.003398184662665762","0.003398184662665762","0.003398184662665762"
"614028","0.0031930683129690923","0.0031930683129690923","0.0031930683129690923"
"616500","0.003155674336690979","0.003155674336690979","0.003155674336690979"
"619756","0.0031620160752733255","0.0031620160752733255","0.0031620160752733255"
"620180","0.003187996962205029","0.003187996962205029","0.003187996962205029"
"622800","0.0031381964550240655","0.0031381964550240655","0.0031381964550240655"
"626060","0.003146807212052915","0.003146807212052915","0.003146807212052915"
"626456","0.0031375150249000065","0.0031375150249000065","0.0031375150249000065"
"626552","0.0031751873623415946","0.0031751873623415946","0.0031751873623415946"
"632288","0.003176905681980948","0.003176905681980948","0.003176905681980948"
"635344","0.0031827696282217184","0.0031827696282217184","0.0031827696282217184"
"638972","0.0022159497289170006","0.0022159497289170006","0.0022159497289170006"
"641624","0.0021481754131861277","0.0021481754131861277","0.0021481754131861277"
"645312","0.002048401669036355","0.002048401669036355","0.002048401669036355"
"651088","0.0010520077298792315","0.0010520077298792315","0.0010520077298792315"
"654164","0.0009806486332707687","0.0009806486332707687","0.0009806486332707687"
"657500","0.001115487394065434","0.001115487394065434","0.001115487394065434"
"657748","0.001177670103778351","0.001177670103778351","0.001177670103778351"
"666664","0.0011496933734190943","0.0011496933734190943","0.0011496933734190943"
